sequence_id,cluster_id,target_year,lookback_steps,input_year_1,input_year_2,input_year_3,t_minus_1_mean_temp,t_minus_1_mean_vpd,t_minus_1_mean_yield,t_minus_1_total_precip_mean,t_minus_1_total_gdd_mean,t_minus_2_mean_temp,t_minus_2_mean_vpd,t_minus_2_mean_yield,t_minus_2_total_precip_mean,t_minus_2_total_gdd_mean,t_minus_3_mean_temp,t_minus_3_mean_vpd,t_minus_3_mean_yield,t_minus_3_total_precip_mean,t_minus_3_total_gdd_mean,target_value
1,2,2017,3,2014,2015,2016,0.3359460015497582,-0.13458781988011492,0.18573748662074213,1.2121983769618403,0.34449156471412323,0.34448319851199743,-0.16006553190231057,1.0157082215633306,-0.3394607263692016,0.45668046946151025,0.1867982766543741,-0.14810540621070026,1.2765580249888882,-1.1461012905591454,0.24385246580885853,0.6731700607256789
2,2,2018,3,2015,2016,2017,0.24724597209463378,-0.2527428375546219,0.6731700607256789,1.1216792999716965,0.29958162199777777,0.3359460015497582,-0.13458781988011492,0.18573748662074213,1.2121983769618403,0.34449156471412323,0.34448319851199743,-0.16006553190231057,1.0157082215633306,-0.3394607263692016,0.45668046946151025,-1.0956683103986646
3,2,2019,3,2016,2017,2018,0.4935947488439813,-0.6006384437683887,-1.0956683103986646,1.8013980074532385,0.6166049903545239,0.24724597209463378,-0.2527428375546219,0.6731700607256789,1.1216792999716965,0.29958162199777777,0.3359460015497582,-0.13458781988011492,0.18573748662074213,1.2121983769618403,0.34449156471412323,1.0065747058987733
4,3,2017,3,2014,2015,2016,1.6116058052632714,1.0201238490776101,-1.6823052497475504,-0.9078694909184195,1.6327730243525949,1.4572489432383857,0.6572356119346164,-0.6388255682885445,-0.8020387292632765,1.5219808403116972,1.2246645878624773,0.18806748442130497,-1.9112511821519034,-0.7514501240465626,1.3245597404521652,-0.7114473220731022
5,3,2018,3,2015,2016,2017,1.288331819445275,0.3549375661756776,-0.7114473220731022,0.6779406737977922,1.4386610781668987,1.6116058052632714,1.0201238490776101,-1.6823052497475504,-0.9078694909184195,1.6327730243525949,1.4572489432383857,0.6572356119346164,-0.6388255682885445,-0.8020387292632765,1.5219808403116972,0.2671269046031878
6,3,2019,3,2016,2017,2018,1.5035523843895122,0.13855411784995716,0.2671269046031878,1.060582675867238,1.6789185276939111,1.288331819445275,0.3549375661756776,-0.7114473220731022,0.6779406737977922,1.4386610781668987,1.6116058052632714,1.0201238490776101,-1.6823052497475504,-0.9078694909184195,1.6327730243525949,-0.48999217790828314
7,4,2019,3,2016,2017,2018,1.2552320939349009,0.4442767151490494,-0.2399054941452831,0.2554807858715714,1.3035874418439584,1.024510728574057,0.5812597277827889,-0.7272258840480258,0.14773606363330347,1.0436469743608818,1.4515695367846937,1.2866749197797378,-2.704036072587157,-1.7914437648222084,1.3393220039192124,-0.6217936127664223
8,5,2017,3,2014,2015,2016,-0.2260439281403303,-0.5361875684375607,0.008981878665604496,-0.09319779800712837,-0.23337476758220022,-0.6641540654694589,-0.6153203577563917,0.7486368272210325,0.635495783219081,-0.7155388714704259,-0.986650298174369,-0.8951824955258717,1.0546369176650405,0.4850434699299082,-1.0547217510358955,1.5965662477626865
9,5,2018,3,2015,2016,2017,-0.29432341655654015,0.36451203061572146,1.5965662477626865,-1.3927019766711823,-0.2576347318533742,-0.2260439281403303,-0.5361875684375607,0.008981878665604496,-0.09319779800712837,-0.23337476758220022,-0.6641540654694589,-0.6153203577563917,0.7486368272210325,0.635495783219081,-0.7155388714704259,1.4703877427125773
10,5,2019,3,2016,2017,2018,-0.10265249238526032,-0.030081117636845497,1.4703877427125773,1.1480994617465972,-0.06316286148562109,-0.29432341655654015,0.36451203061572146,1.5965662477626865,-1.3927019766711823,-0.2576347318533742,-0.2260439281403303,-0.5361875684375607,0.008981878665604496,-0.09319779800712837,-0.23337476758220022,1.8961909328949802
