"Cluster_id","Year","Location_count","Station_count","Latitude","Longitude","std_mean_temp_cluster","std_mean_vpd_cluster","std_mean_yield_cluster","std_total_precip_mean_cluster","std_total_gdd_mean_cluster"
1,2016,2,2,35.2016175,-90.418207,1.35669083417479,0.78004712723645,-2.68970787448445,-1.02834675360163,1.37821467746726
1,2017,2,2,35.2016175,-90.418207,0.972539781507719,0.804540199576528,-0.888619958185615,-0.184577552319636,1.00235364271293
1,2018,2,2,35.2016175,-90.418207,1.40213282251683,0.680791255082797,-1.85524353069164,-0.116553486003524,1.41861480182461
2,2014,1,1,38.642929,-75.450912,0.191066888495572,-0.147992047846863,1.26995782884814,-1.05805925594089,0.235316278267972
2,2015,1,1,38.642929,-75.450912,0.352108861815036,-0.161111834184189,1.01366392330814,-0.271556145990103,0.452637680411832
2,2016,1,1,38.642929,-75.450912,0.34338991120632,-0.133163788593864,0.198189123830114,1.24136641770327,0.338080151955767
2,2017,1,1,38.642929,-75.450912,0.252801492169999,-0.262775184539306,0.677108396393113,1.15310711272507,0.292222033880077
2,2018,1,1,38.642929,-75.450912,0.504394939819813,-0.644402948235888,-1.060836154268,1.81585691859781,0.615938658296195
2,2019,1,1,38.642929,-75.450912,0.696470466153351,0.268425916730253,1.00468992995933,-0.766788912812191,0.749936518147026
2,2020,1,1,38.642929,-75.450912,0.245541857447064,-0.343764358136919,-0.457709645502439,1.07531304871859,0.293330088886213
2,2021,1,1,38.642929,-75.450912,0.512689026309885,-0.15065895777401,0.667209395997997,-0.158707183903557,0.625922124193056
3,2014,1,1,31.5069125,-83.5567275,1.25102897510306,0.220776359042637,-1.86217438319566,-0.673260395596493,1.33884032680371
3,2015,1,1,31.5069125,-83.5567275,1.48856496213162,0.735435297248947,-0.611972443981858,-0.722586076819795,1.54042954202878
3,2016,1,1,31.5069125,-83.5567275,1.64620802250193,1.13350938596733,-1.63722712848112,-0.825774816470918,1.65356086107101
3,2017,1,1,31.5069125,-83.5567275,1.31605165760874,0.403826259617285,-0.683325815386334,0.720446241223345,1.45535066507257
3,2018,1,1,31.5069125,-83.5567275,1.53585418577212,0.16646214805458,0.278157026931491,1.09353574103996,1.70068062593586
3,2019,1,1,31.5069125,-83.5567275,1.99136393801858,1.68026756222036,-0.465738517812913,-0.169465158888461,1.88467261116251
3,2020,1,1,31.5069125,-83.5567275,1.40285324428323,0.461016347441514,-1.09899970995032,0.0355218338511087,1.43696353447571
3,2021,1,1,31.5069125,-83.5567275,1.1578544266489,-0.0888369692142963,-0.220490688397275,1.18508830366659,1.30610333533532
4,2016,1,2,34.1713018625,-83.0225015825,1.48276464329447,1.4259054013412,-2.64111281118929,-1.68729101730284,1.35391426322381
4,2017,1,2,34.1713018625,-83.0225015825,1.04661391697584,0.652092747800603,-0.698828795335913,0.203477973921553,1.05199670115611
4,2018,2,2,34.1713018625,-83.0225015825,1.28224725164698,0.501827783707573,-0.220019747610896,0.308532892906791,1.31742524391286
4,2019,2,2,34.1713018625,-83.0225015825,1.50159720716224,1.42050870970751,-0.595237961753298,-0.809198752973769,1.36351923508392
4,2020,2,2,34.1713018625,-83.0225015825,0.849393840336096,0.160391988683195,-1.64340896679085,0.311277274280491,0.837944609822428
4,2021,2,2,34.1713018625,-83.0225015825,0.907267722236748,0.450466435809694,-0.45521444644361,0.278088555534544,0.930878609396392
5,2014,1,2,41.5874655,-91.8680965,-1.00736395608424,-0.967506160161104,1.05191270644105,0.532364637745768,-1.09067449714309
5,2015,2,2,41.5874655,-91.8680965,-0.678001902369396,-0.660508429023663,0.751257090659196,0.679060970107948,-0.744330511834358
5,2016,2,2,41.5874655,-91.8680965,-0.23056456837719,-0.573702879072963,0.0245206583223465,-0.0314410716671726,-0.251986565915277
5,2017,2,2,41.5874655,-91.8680965,-0.300297700893933,0.414329069620011,1.58437691654746,-1.29850365602867,-0.276758726349465
5,2018,2,2,41.5874655,-91.8680965,-0.104546176316468,-0.0185240565706399,1.46040219458176,1.1788677058862,-0.0781810071559201
